box,coatcolor,cohort,cued_age,epm1_age,ext01_age,lga01_age,oft1_age,pr_age,prime_age,room,sex,site,surgery_weight,tf1_age,labanimalid,rfid,lga_total_heroin_consumption,lga_escalation_of_heroin_intake_12h,lga_escalation_of_heroin_intake_1h,pr_breakpoints,prime_active,prime_extinction_before_priming_active,ext_burst,ext_day_6_active,ext_de_escalation,cued_active,epm_percent_open_1,epm_percent_open_2,epm_percent_closed_1,epm_percent_closed_2,oft_distance_1,oft_distance_2,oft_time_1,oft_time_2,tf_bl_1,tf_bl_2,tf_test_1,tf_test_2,fst_swim,fst_climb,fst_float,fst_dive,room_box,oft_distance_diff,oft_time_diff,epm_percent_closed_diff,epm_percent_open_diff,tf_bl_diff,tf_test_diff
3,BLACKHOOD,C13italy,116,73,110,85,73,105,109,48.0,F,italy,202.0,73,IT507,933000320500114,3560.0,320.0,20.0,4.0,9.0,5.0,1.0,3.0,0.0,13.0,32.95666666666666,9.206666666666669,44.19,66.47,5043.284783,8630.743845,133.05,264.35,2.6750000000000003,1.3250000000000002,9.875,9.775,41.0,8.0,11.0,0.0,48_3,3587.459062000001,131.3,22.28,-23.75,-1.35,-0.0999999999999996
3,BLACKHOOD,C08italy,108,64,102,77,64,97,101,48.0,F,italy,175.0,64,IT307,933000320048421,4740.0,-300.0,-66.6666666666667,2.0,0.0,1.0,2.0,10.0,9.0,3.0,14.993333333333334,10.123333333333331,60.473333333333336,53.59333333333333,24536.040356,21805.546013,132.95,132.35,4.95,2.575,8.274999999999999,3.85,28.0,13.0,19.0,0.0,48_3,-2730.494343000002,-0.5999999999999943,-6.88000000000001,-4.870000000000003,-2.375,-4.424999999999999
1,BROWN,C06italy,114,71,108,83,71,104,107,50.0,F,italy,152.0,71,IT235,933000320187296,9060.0,-553.333333333333,-26.6666666666667,0.0,19.0,7.0,0.0,9.0,9.0,23.0,6.78333333333333,30.8,39.71,39.71,11259.569469,9918.596089,315.3,258.4,2.425,3.925,5.25,5.075,30.0,9.0,21.0,0.0,50_1,-1340.9733799999997,-56.900000000000034,0.0,24.01666666666668,1.5,-0.1749999999999998
4,BROWNHOOD,C12italy,116,70,110,85,70,105,109,46.0,F,italy,202.0,70,IT448,933000320188329,6920.0,-413.33333333333326,53.33333333333334,2.0,3.0,1.0,5.0,5.0,3.0,6.0,51.42,11.733333333333334,29.236666666666668,39.26,8688.637018,10603.273511,249.4,274.6,2.575,3.6,6.9750000000000005,5.675,38.0,8.0,14.0,0.0,46_4,1914.636493,25.200000000000017,10.02333333333333,-39.68666666666667,1.025,-1.3000000000000007
8,BLACKHOOD,C10italy,115,70,109,84,70,104,108,46.0,M,italy,260.0,70,IT378,933000320188203,2960.0,-93.33333333333331,-20.0,0.0,14.0,2.0,0.0,1.0,1.0,14.0,4.863333333333333,24.7,43.10000000000001,36.373333333333335,6340.95,5004.016832,177.6,135.9,4.424999999999999,3.925,9.25,7.5,42.0,7.0,11.0,0.0,46_8,-1336.9331679999996,-41.69999999999999,-6.726666666666674,19.836666666666662,-0.4999999999999991,-1.75
3,ALBINO,C13italy,123,77,117,92,77,112,116,46.0,F,italy,232.0,77,IT487,933000320499958,8580.0,-1646.6666666666667,-86.66666666666666,4.0,2.0,1.0,1.0,4.0,2.0,29.0,28.14666666666667,23.23,58.62,29.473333333333333,18015.01505,5920.870628,505.45,168.9,0.925,2.625,10.0,4.525,39.0,2.0,19.0,0.0,46_3,-12094.144422,-336.54999999999995,-29.146666666666665,-4.916666666666668,1.7,-5.475
3,BLACKHOOD,C06italy,119,75,113,88,75,109,112,48.0,M,italy,270.0,75,IT221,933000320187394,3720.0,803.333333333333,73.3333333333333,0.0,3.0,1.0,1.0,9.0,6.0,13.0,11.0733333333333,11.7866666666667,41.69,41.69,4693.192268,3477.827113,143.15,109.6,3.35,3.0,4.925,8.3,28.0,9.0,23.0,0.0,48_3,-1215.365155,-33.55000000000001,0.0,0.7133333333334004,-0.3500000000000001,3.375000000000001
4,BROWNHOOD,C07italy,122,76,116,91,76,111,115,46.0,M,italy,362.0,76,IT246,933000320048308,3060.0,-86.6666666666667,-6.66666666666666,2.0,11.0,1.0,3.0,5.0,1.0,5.0,15.3666666666667,14.7566666666667,25.73,25.73,1949.399233,6340.073469,60.95,182.95,3.2,7.125,7.9,9.2,10.0,7.0,43.0,0.0,46_4,4390.674236,122.0,0.0,-0.6099999999999994,3.925,1.299999999999999
5,BLACK,C12italy,106,63,100,75,63,95,99,48.0,F,italy,248.0,63,IT472,933000320499741,5640.0,-146.66666666666674,33.33333333333334,2.0,5.0,1.0,10.0,4.0,3.0,1.0,17.666666666666668,15.063333333333333,44.63666666666666,35.54333333333334,10460.255007,23938.324295,295.25,590.15,2.575,2.475,5.050000000000001,8.3,47.0,4.0,9.0,0.0,48_5,13478.069288,294.9,-9.093333333333328,-2.603333333333336,-0.1,3.25
3,BROWN,C04italy,108,64,102,76,64,97,101,48.0,F,italy,163.0,64,IT148,933000320047743,11020.0,1093.33333333333,120.0,9.0,13.0,6.0,5.0,3.0,-13.0,24.0,26.72,17.27,36.1766666666667,36.1766666666667,8974.955402,7131.789277,259.7,192.2,1.675,2.675,5.6,4.075,46.0,3.0,11.0,0.0,48_3,-1843.166125,-67.5,0.0,-9.45,0.9999999999999998,-1.5249999999999997
